Sales Region;Sales Country;Vehicle Production Region;Vehicle Production Country;OEM Group;Brand;Make Model;Global Segment;Propulsion;Fast-Charging;Battery kWh;Cathode Chemistry;Cell Supplier;2009;2010;2011;2012;jan-13;feb-13;mar-13;apr-13;maj-13;jun-13;jul-13;aug-13;sep-13;okt-13;nov-13;dec-13;2013;jan-14;feb-14;mar-14;apr-14;maj-14;jun-14;jul-14;aug-14;sep-14;okt-14;nov-14;dec-14;2014;jan-15;feb-15;mar-15;apr-15;maj-15;jun-15;jul-15;aug-15;sep-15;okt-15;nov-15;dec-15;2015;jan-16;feb-16;mar-16;apr-16;maj-16;jun-16;jul-16;aug-16;sep-16;okt-16;nov-16;dec-16;2016;jan-17;feb-17;mar-17;apr-17;maj-17;jun-17;jul-17;aug-17;sep-17;okt-17;nov-17;dec-17;2017;jan-18;feb-18;mar-18;apr-18;maj-18;jun-18;jul-18;aug-18;sep-18;okt-18;nov-18;dec-18;2018;jan-19;feb-19;mar-19;apr-19;maj-19;jun-19;jul-19;aug-19;sep-19;okt-19;nov-19;dec-19;2019;jan-20;feb-20;mar-20;apr-20;maj-20;jun-20;jul-20;aug-20;sep-20;okt-20;2020;Cumulative Sales
Americas;USA;Asia-Pacific;Japan;Honda Motor;Honda;Honda Clarity PHEV;Car-D;PHEV;NA;17;NMC;Panasonic;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;5;898;903;594;881;1061;1049;1639;1445;1500;1659;2139;2032;1833;2770;18602;1192;1213;1351;978;814;1004;778;829;492;570;773;764;10758;420;503;199;80;229;173;190;243;335;;2372;32635
Americas;USA;Asia-Pacific;Japan;Honda Motor;Honda;Honda Clarity FCEV;Car-D;FCEV;NA;14;Unknown Li-Ion;Blue Energy;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;8;8;42;27;23;34;119;49;82;42;14;;;;432;56;249;121;156;30;4;3;1;2;;1;1;624;1;;2;11;16;56;51;47;35;27;44;30;320;31;42;20;10;18;13;21;8;18;;181;1565
Americas;USA;Asia-Pacific;Japan;Honda Motor;Honda;Honda Fit EV;MPV-A;BEV;NA;24;Unknown Li-Ion;Toshiba;;;;93;8;15;23;22;15;208;63;66;35;40;23;51;569;30;33;37;50;33;38;42;55;27;23;5;32;405;;;1;;;;;;;1;;;2;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;0;1069
Americas;USA;Asia-Pacific;South Korea;Hyundai Motor;Hyundai;Hyundai Kona EV;SUV-C;BEV;CCS;42 / 67;NMC;LG Chem;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;120;299;365;319;325;287;417;269;320;448;434;3603;265;335;166;116;202;199;308;287;260;;2138;5741
Americas;USA;Asia-Pacific;South Korea;Hyundai Motor;Hyundai;Hyundai Ioniq PHEV;Car-C;PHEV;NA;8,9;NMC;LG Chem;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;22;178;218;180;217;143;146;50;27;189;192;276;1838;139;123;159;91;112;204;242;271;211;243;283;298;2376;819;615;312;93;148;145;242;247;215;;2836;7050
Americas;USA;Asia-Pacific;South Korea;Hyundai Motor;Hyundai;Hyundai Ioniq Electric EV;Car-C;BEV;CCS;28 / 42;NMC;LG Chem;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;5;19;75;58;43;66;36;28;23;79;432;49;3;60;41;32;47;48;33;20;30;55;56;474;62;57;80;65;94;74;73;140;110;647;199;40;1641;5;87;60;23;54;61;81;96;130;;597;3144
Americas;USA;Asia-Pacific;South Korea;Hyundai Motor;Hyundai;Hyundai Sonata PHEV;Car-D;PHEV;NA;9,8;NMC;LG Chem;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;15;145;160;175;200;275;250;235;225;375;235;260;255;285;325;3095;190;175;295;280;220;255;205;185;190;210;135;195;2535;52;54;78;38;67;62;78;7;1;3;3;;443;6;31;;23;52;34;36;70;36;28;51;58;425;36;31;28;23;40;35;150;119;98;;560;7218
Americas;USA;Asia-Pacific;South Korea;Hyundai Motor;Hyundai;Hyundai Tucson / ix35 FCEV;SUV-D;FCEV;NA;0,95;LMP;Unknown;;;;;;;;;;;;;;;;1;1;6;14;8;8;8;7;9;5;12;6;6;11;100;;;2;3;4;6;5;2;6;6;4;;38;4;4;9;7;2;4;3;;2;4;;1;40;2;5;2;5;4;2;1;;3;3;;1;28;1;1;;15;19;;;;;;;;36;;;;;;;;;;;;;0;;;;;;;;;;;0;243
Americas;USA;Asia-Pacific;South Korea;Hyundai Motor;Hyundai;Hyundai Nexo FCEV;SUV-D;FCEV;NA;1,56;Unknown;Unknown;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;8;8;35;5;20;19;19;21;21;34;23;17;38;15;267;16;28;7;3;10;12;16;25;21;;138;413
Americas;USA;Europe;Austria;Tata-JLR;Jaguar;Jaguar i-Pace EV;SUV-D;BEV;CCS;90;NMC;LG Chem;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;5;165;223;393;210;189;212;237;228;236;213;160;160;306;270;176;2597;147;154;147;53;157;496;112;92;95;;1453;4443
Americas;USA;Asia-Pacific;South Korea;Hyundai Motor;Kia;Kia Soul EV;MPV-B;BEV;ChaDeMo;30;NMC;SK-Group;;;;;;;;;;;;;;;;;0;;;;;;;;;;109;140;110;359;69;48;63;73;108;109;59;93;105;109;83;96;1015;81;60;79;139;120;134;179;153;217;190;179;197;1728;117;152;171;167;129;100;145;300;255;210;207;204;2157;115;163;157;152;133;57;32;33;25;63;67;22;1019;5;2;2;4;1;2;2;;;;;;18;;;;;;;;;;;0;6296
Americas;USA;Asia-Pacific;South Korea;Hyundai Motor;Kia;Kia e-Soul EV;MPV-C;BEV;CCS;42 / 67;NMC;SK-Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;1;1;2;;;;;;1;1;3;;;5;7
Americas;USA;Asia-Pacific;South Korea;Hyundai Motor;Kia;Kia Niro EV;SUV-C;BEV;CCS;42 / 67;NMC;SK-Group;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;33;302;192;175;253;213;327;394;619;2508;236;425;145;68;157;158;205;234;263;;1891;4399
Americas;USA;Asia-Pacific;South Korea;Hyundai Motor;Kia;Kia Niro PHEV;SUV-C;PHEV;NA;8,9;NMC;SK-Group;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;155;246;227;120;218;281;311;440;445;411;481;391;3726;257;313;309;273;325;309;289;418;307;395;467;374;4036;195;195;94;57;130;165;208;239;264;;1547;9309
Americas;USA;Asia-Pacific;South Korea;Hyundai Motor;Kia;Kia K5 / Optima PHEV;Car-D;PHEV;NA;9,8;NMC;LG Chem;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;10;61;70;86;85;78;130;182;228;235;213;134;1512;86;103;156;142;98;83;54;58;38;54;44;32;948;8;5;12;10;6;17;22;29;17;21;31;27;205;20;23;14;7;15;15;4;13;13;;124;2789
Americas;USA;Europe;U.K.;Tata-JLR;Range Rover;Range Rover Sport PHEV;SUV-E;PHEV;NA;13,1;NMC;Samsung SDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;85;113;198;76;76;59;29;51;81;63;41;57;;533;731
Americas;USA;Europe;U.K.;Tata-JLR;Range Rover;Range Rover PHEV;SUV-E;PHEV;NA;13,1;NMC;Samsung SDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;73;136;209;61;54;45;21;39;48;45;34;46;;393;602
